    1.2129	        0.3160		    0.3165
    1.2153	        0.4246		    0.3374
    1.2177	        0.5349		    0.3664
    1.2208	        1.7703		    0.2729
    1.2205	        0.6462		    0.4003
    1.2211	        1.6628		    0.3045
    1.2217	        1.8766		    0.2521
    1.2218	        1.5544		    0.3471
    1.2235	        0.7589		    0.4308
    1.2241	        1.4437		    0.3831
    1.2262	        0.8730		    0.4597
    1.2255	        1.3313		    0.4215
    1.2280	        0.9877		    0.4723
    1.2272	        1.2175		    0.4490
    1.2277	        1.1029		    0.4655
    1.2119	        0.2618		    0.3005
    1.2135	        0.3704		    0.3198
    1.2159	        0.4798		    0.3470
    1.2188	        0.5901		    0.3804
    1.2218	        0.7023		    0.4138
    1.2246	        0.8159		    0.4455
    1.2214	        1.6084		    0.3212
    1.2230	        1.4992		    0.3627
    1.2207	        1.7171		    0.2884
    1.2269	        0.9301		    0.4652
    1.2266	        1.2747		    0.4317
    1.2249	        1.3878		    0.3992
    1.2211	        1.8234		    0.2604
    1.2280	        1.0454		    0.4711
    1.2278	        1.1609		    0.4583
    1.2670	        0.2624		    0.2889
    1.2689	        0.3699		    0.3223
    1.2726	        0.4789		    0.3551
    1.2755	        1.8233		    0.2513
    1.2758	        1.7174		    0.2807
    1.2759	        0.5895		    0.3886
    1.2777	        1.6096		    0.3211
    1.2796	        1.4998		    0.3684
    1.2798	        0.7014		    0.4252
    1.2824	        1.3884		    0.4031
    1.2828	        0.8152		    0.4556
    1.2848	        1.2752		    0.4412
    1.2858	        0.9297		    0.4819
    1.2866	        1.1608		    0.4720
    1.2869	        1.0454		    0.4866
    1.2658	        0.2079		    0.2776
    1.2678	        0.3157		    0.2957
    1.2707	        0.4240		    0.3247
    1.2742	        0.5335		    0.3544
    1.2779	        0.6454		    0.3902
    1.2763	        1.6630		    0.2946
    1.2748	        1.7707		    0.2501
    1.2784	        1.5549		    0.3350
    1.2751	        1.8742		    0.2263
    1.2817	        0.7574		    0.4271
    1.2811	        1.4440		    0.3741
    1.2849	        0.8720		    0.4594
    1.2838	        1.3317		    0.4143
    1.2869	        0.9871		    0.4752
    1.2872	        1.1027		    0.4724
    1.2861	        1.2180		    0.4509
    1.3196	        0.2089		    0.2624
    1.3220	        0.3149		    0.2977
    1.3254	        0.4226		    0.3231
    1.3279	        1.7707		    0.2514
    1.3279	        1.8752		    0.2179
    1.3300	        0.5324		    0.3727
    1.3304	        1.6644		    0.2961
    1.3337	        1.5559		    0.3434
    1.3342	        0.6437		    0.4071
    1.3374	        1.4455		    0.3910
    1.3390	        0.7568		    0.4456
    1.3408	        1.3328		    0.4388
    1.3429	        0.8714		    0.4795
    1.3441	        1.2187		    0.4713
    1.3454	        0.9869		    0.4991
    1.3455	        1.1031		    0.4944
    1.3207	        0.2610		    0.2694
    1.3235	        0.3687		    0.3163
    1.3276	        0.4771		    0.3453
    1.3321	        0.5876		    0.3825
    1.3273	        1.8232		    0.2217
    1.3289	        1.7179		    0.2637
    1.3317	        1.6103		    0.3145
    1.3369	        0.6997		    0.4240
    1.3355	        1.5003		    0.3654
    1.3412	        0.8139		    0.4575
    1.3392	        1.3889		    0.4093
    1.3741	        0.2602		    0.2623
    1.3426	        1.2758		    0.4502
    1.3445	        0.9288		    0.4911
    1.3460	        1.0448		    0.5001
    1.3451	        1.1611		    0.4830
    1.3779	        0.3669		    0.3010
    1.3792	        1.8242		    0.2087
    1.3813	        1.7195		    0.2603
    1.3829	        0.4754		    0.3460
    1.3858	        1.6124		    0.3097
    1.3876	        0.5862		    0.3918
    1.3905	        1.5032		    0.3683
    1.3935	        0.6986		    0.4340
    1.3953	        1.3916		    0.4184
    1.3989	        0.8130		    0.4728
    1.4003	        1.2776		    0.4649
    1.4031	        0.9287		    0.5062
    1.4038	        1.1623		    0.5004
    1.4046	        1.0454		    0.5123
    1.3729	        0.2072		    0.2401
    1.3752	        0.3127		    0.2747
    1.3796	        0.4204		    0.3179
    1.3805	        1.7726		    0.2338
    1.3792	        1.8755		    0.1859
    1.3848	        0.5303		    0.3660
    1.3838	        1.6660		    0.2842
    1.3904	        0.6414		    0.4083
    1.3882	        1.5573		    0.3367
    1.4268	        0.2066		    0.2395
    1.3930	        1.4474		    0.3955
    1.3959	        0.7549		    0.4482
    1.4306	        0.3116		    0.2710
    1.3978	        1.3344		    0.4380
    1.4006	        0.8698		    0.4842
    1.4331	        1.8756		    0.1642
    1.4017	        1.2197		    0.4811
    1.4037	        0.9863		    0.5110
    1.4040	        1.1036		    0.5057
    1.4334	        1.7732		    0.2212
    1.4347	        0.4186		    0.3206
    1.4398	        1.6679		    0.2868
    1.4414	        0.5280		    0.3763
    1.4439	        1.5598		    0.3485
    1.4486	        0.6396		    0.4252
    1.4506	        1.4492		    0.4066
    1.4546	        0.7532		    0.4687
    1.4561	        1.3358		    0.4643
